Dataset	Macroarea	Num_Phonemes_Number	Num_Phonemes_Mean	Num_Consonants_Number	Num_Consonants_Mean	Num_Vowels_Number	Num_Vowels_Mean	Num_Long_Consonants_Number	Num_Long_Consonants_Mean	Num_Long_Vowels_Number	Num_Long_Vowels_Mean	Num_Diphthongs_Number	Num_Diphthongs_Mean	Num_Phonemes_All_Proportion	Num_Consonants_All_Proportion	Num_Vowels_All_Proportion	Num_Long_Consonants_All_Proportion	Num_Long_Vowels_All_Proportion	Num_Diphthongs_All_Proportion	Num_Phonemes_Dataset_Proportion	Num_Consonants_Dataset_Proportion	Num_Vowels_Dataset_Proportion	Num_Long_Consonants_Dataset_Proportion	Num_Long_Vowels_Dataset_Proportion	Num_Diphthongs_Dataset_Proportion	Number_Inventories	Global_All_Proportion	Global_Dataset_Proportion
phoible	South America	1103	26.9024	716	17.4634	364	8.878	8	0.1951	57	1.3902	23	0.561	1.0291	1.0489	0.9507	2.8368	1.1375	3.656	0.7255	0.6735	0.8536	0.1801	0.5312	0.8031	41	0.0118	0.0456
ra	Africa	30	30.0	22	22.0	8	8.0	0	0.0	0	0.0	0	0.0	0.7743	0.8127	0.6997	0.0	0.0	0.0	0.7145	0.7645	0.6054		0.0		1	0.0003	0.0102
ra	Eurasia	4085	42.1134	2798	28.8454	1287	13.268	0	0.0	328	3.3814	0	0.0	1.0238	1.0253	1.1737	0.0	1.1775	0.0	1.0029	1.0024	1.0041		1.0103		97	0.0279	0.9898
ra	GLOBAL	4115	41.9898	2820	28.7755	1295	13.2143	0	0.0	328	3.3469	0	0.0	1.2511	1.231	1.3806	0.0	1.5559	0.0	1.0	1.0	1.0		1.0		98	0.0282	1.0
saphon	GLOBAL	9041	25.4676	5699	16.0535	3333	9.3887	23	0.0648	469	1.3211	9	0.0254	0.7588	0.6867	0.9809	0.1312	0.6141	0.0427	1.0	1.0	1.0	1.0	1.0	1.0	355	0.102	1.0
saphon	South America	9041	25.4676	5699	16.0535	3333	9.3887	23	0.0648	469	1.3211	9	0.0254	0.9742	0.9642	1.0054	0.9419	1.0809	0.1652	1.0	1.0	1.0	1.0	1.0	1.0	355	0.102	1.0
upsid	Africa	3675	34.3458	2666	24.9159	972	9.0841	7	0.0654	60	0.5607	28	0.2617	0.8865	0.9205	0.7945	0.0694	0.198	1.5055	1.1094	1.1107	1.1274	0.4033	0.8792	0.5859	107	0.0307	0.2378
upsid	Australia	554	22.16	453	18.12	101	4.04	4	0.16	3	0.12	0	0.0	0.921	0.9597	0.7812	15.456	0.0877	0.0	0.7158	0.8077	0.5014	0.9863	0.1882	0.0	25	0.0072	0.0556
upsid	Eurasia	4404	36.3967	3166	26.1653	1119	9.2479	51	0.4215	155	1.281	119	0.9835	0.8848	0.93	0.8181	0.6537	0.4461	0.5809	1.1757	1.1664	1.1477	2.5982	2.0085	2.2018	121	0.0348	0.2689
upsid	GLOBAL	13931	30.9578	10095	22.4333	3626	8.0578	73	0.1622	287	0.6378	201	0.4467	0.9224	0.9597	0.8418	0.3286	0.2965	0.752	1.0	1.0	1.0	1.0	1.0	1.0	450	0.1293	1.0
upsid	North America	2259	31.8169	1744	24.5634	495	6.9718	7	0.0986	53	0.7465	20	0.2817	0.9493	1.005	0.7925	0.2485	0.2966	1.0174	1.0278	1.095	0.8652	0.6078	1.1704	0.6306	71	0.0204	0.1578
upsid	Papunesia	1421	21.8615	984	15.1385	414	6.3692	0	0.0	16	0.2462	23	0.3538	0.9078	0.9058	0.9474	0.0	0.3971	0.5708	0.7062	0.6748	0.7904	0.0	0.386	0.7922	65	0.0187	0.1444
upsid	South America	1618	26.5246	1082	17.7377	525	8.6066	4	0.0656	0	0.0	11	0.1803	1.0147	1.0654	0.9216	0.9533	0.0	1.1752	0.8568	0.7907	1.0681	0.4042	0.0	0.4037	61	0.0175	0.1356
